"Fuente","Título","Autor","Editorial","ISSN-e","ISSN","ISBN","Volumén","Número","Páginas"
"Artículo","Inaugural Florence Nightingale Day Inspires Students to Pursue Statistics, Data Science","Shili Lin","AMSTAT news: the membership magazine of the American Statistical Association","","","","","",""
"Artículo","So, You've decided to study data science... Now what?","","AMSTAT news: the membership magazine of the American Statistical Association","","","","","","18-19"
"Artículo","Young Philippine chemist finds missing environmental data by turning to nuclear science","Miklos Gaspar","Organismo Internacional de Energía Atómica Boletin","","","","","","19-20"
"Artículo","Guest editorial: special issue on data mining technologies for computational social science","Fei Wang, Hanghang Tong, Philip S. Yu, Charu C. Aggarwal","Data mining and knowledge discovery","","","","","","415-419"
"Artículo","A mixed experimental-CFD-data science approach for rheological measurement of polishing fluids","Naveen Thomas, Arun Srinivasa, Satish T. S. Bukkapatnam","Mechanics of advanced materials and structures","","","","","","1167-1177"
"Artículo","New Master’s or Doctoral Data Science/Analytics Programs","","AMSTAT news: the membership magazine of the American Statistical Association","","","","","",""
"Artículo","Big Data e Ciência de Dados: complementariedade conceitual no processo de tomada de decisão","Sandro Rautenberg, Paulo Ricardo Viviurka do Carmo","Brazilian Journal of Information Science","","","","","","56-67"
"Artículo","La colaboración científica en el marco de nuevas propuestas científicas: Open Science,e-Science y Big Data","Alexandre López Borrull, Agustí Canals Parera","La colaboración científica: una aproximación multidisciplinar / Víctor Agulló Calatayud (dir. congr.)","","","","","","91-100"
"Artículo","La informetría y el análisis del discurso aplicados a la producción científica en la Ciencia de Datos y Ciencia de la información","Celso Martínez Musiño","e-Ciencias de la información","","","","","",""
"Artículo","Entonces: ¿Qué hacemos con los Datos? Reflexiones sobre la Interpretación de los Datos en Ciencias Sociales.","Begonya Enguix","Revista Latinoamericana de Metodología de la Investigación Social: ReLMIS","","","","","","52-67"
"Artículo","Coautoría hispano portuguesa en el área de information science & library science de la web of science","María Rocío Gómez Crisóstomo, Luz María Romo Fernández, Jorge Caldera Serrano","A Ciência Aberta o contributo da Ciência da Informação: atas do VIII Encontro Ibérico EDICIC / coord. por Maria Manuel Borges","","","","","","291-300"
"Artículo","El papel de los y las periodistas españoles ante la comunicación de la ciencia de datos en medios en línea","Patricia Sánchez Holgado, Carlos Arcila Calderón, Maximiliano Frías Vázquez","Prisma Social: revista de investigación social","","","","","","344-375"
"Artículo","Diferencias de género en la percepción de la ciudadanía española sobre la Ciencia de Datos","Patricia Sánchez Holgado, María Marcos Ramos, Beatriz González de Garay Domínguez","Doxa Comunicación: revista interdisciplinar de estudios de comunicación y ciencias sociales","","","","","","220-242"
"Artículo","Opinión de docentes sobre los dispositivos móviles considerando la ciencia de datos","Ricardo Adán Salas Rueda, Ricardo Castañeda Martínez","Revista Fuentes","","","","","","163-177"
"Artículo","¿Temor de compartir los datos?: La necesidad de una ciencia más abierta","David Villarreal Zegarra, Milagros Cabrera Alva, David R. Villarreal Huertas","Interacciones: Revista de Avances en Psicología","","","","","","3-5"
"Artículo","¿Herramientas=teorías=datos? Sobre cierta dinámica circular en la ciencia cognitiva","Gerd Gigerenzer, Thomas Sturm","Quaderns de Psicología","","","","","","35-61"
"Artículo","The bureaucratization of science","John P. Walsh, You-Na Lee","Research Policy","","","","","","1584-1600"
"Artículo","The effects of single-sex compared with coeducational schooling on mathematics and science achievement: Data from Korea","Erin Pahlke, Janet Shibley Hyde, Janet E. Mertz","Journal of educational psychology","","","","","","444-452"
"Artículo","Using Panel Data Techniques for Social Science Research: an Illustrative Case and Some Guidelines","José Ramón Gil García","CIENCIA ergo-sum","","","","","","203-216"
"Artículo","A produção científica sobre qualidade de dados em big data: um estudo na base de dados Web of Science","Priscila Basto Fagundes, Douglas Dyllon Jeronimo de Macedo, Gislaine Parra Freund","Revista Digital de Biblioteconomia e Ciência da Informação","","","","","","194-210"
"Artículo","Examining how classroom communities developed practice-based epistemologies for science through analysis of longitudinal video data","Christina Krist","Journal of educational psychology","","","","","","420-443"
"Artículo","The science of learning.","Barbara Kantrowitz","Scientific American","","","","","","69-73"
"Artículo","The attention to the appropriate data treatment is fundamental to possible achieve all the potential to the open science","Luiz Olavo Bonino da Silva Santos","Revista de Pesquisa: Cuidado é fundamental online","","","","","","1-2"
"Artículo","Big data y descripción densa","Elisenda Ardévol Piera","Virtualis: revista de cultura digital","","","","","","14-38"
"Artículo","ASA Early Career Profiles: Bachelor’s-Level Graduates in Statistics and Data Science","","AMSTAT news: the membership magazine of the American Statistical Association","","","","","",""
"Artículo","Data access and research transparency (DA-RT): A joint statement by Political Science Journal Editors","","European journal of political research","","","","","","411-411"
"Artículo","New data for Pyraloidea from Fuerteventura (Canary Island, Spain) incluiding a species new to Science (Lepidoptera: Pyraloidea)","J.E.F. Asselbergs","SHILAP Revista de lepidopterología","","","","","","405-420"
"Artículo","Calibration of the Infrared Telescope Facility National Science Foundation Camera Jupiter Galileo Data Set","M. B. Vincent, N. J. Chanover","Publications of the Astronomical Society of the Pacific","","","","","","1129-1143"
